itemId,category,name,rating,reviewTitle,reviewContent,upVotes,downVotes,helpful,relevanceScore,boughtDate,clientType
50409,beli-harddisk-eksternal,Lazada Guest,5,Tanpa Judul,Tidak ada review,0,0,True,16.01,17 Jul 2014,androidApp
64523,beli-harddisk-eksternal,Guest,5,Baik !!,"Puas, kecil tapi kencang.",0,0,True,19.03,17 Mar 2015,desktop
92424,beli-harddisk-eksternal,Masitah,5,Tanpa Judul,Tidak ada review,0,0,True,13.01,09 Agu 2014,desktop
122091,beli-harddisk-eksternal,Ayub I.,1,Barang berbeda,Barang yang datang bukan baracuda 3.5 7200rpm tapi pipeline HD.2,0,0,True,19.5,06 Feb 2017,mobile-app
122145,beli-harddisk-eksternal,Tara A.,5,Tanpa Judul,"Thanks barang sudah sampai, sehari langsung sampe untuk sesama Jakarta. Kemasan nya rapi, Thankyou buat lazada dan kenkez",0,0,True,16.26,,desktop
123635,beli-harddisk-eksternal,Olivia H.,5,Tanpa Judul,Tidak ada review,0,0,True,1.25,,desktop
126621,beli-harddisk-eksternal,Emiliana F.,1,Tanpa Judul,Tidak ada review,0,0,True,14.01,09 Mar 2018,desktop
126716,beli-harddisk-eksternal,Randy W.,5,Tanpa Judul,Tidak ada review,0,0,True,13.23,08 Jan 2015,androidApp
127009,beli-harddisk-eksternal,Supryanto,1,Tanpa Judul,Tidak ada review,0,0,True,13.01,18 Feb 2015,desktop
146458,beli-harddisk-eksternal,Ikhsan R.,5,Tanpa Judul,Tidak ada review,0,0,True,18.01,26 Apr 2015,iosApp
170671,beli-harddisk-eksternal,Lazada Guest,5,Tanpa Judul,Tidak ada review,0,0,True,1.19,,desktop
170681,beli-harddisk-eksternal,Lazada Guest,5,Tanpa Judul,Tidak ada review,0,0,True,1.19,,desktop
245029,beli-harddisk-eksternal,Nurcholis,5,Tanpa Judul,Barang bagus pengirman cepat. mantab deh,0,0,True,19.42,11 Okt 2016,desktop
270768,beli-harddisk-eksternal,Jocelyn L.,5,Tanpa Judul,"so far ... puas dengan produk ini , harga dan fasilitas yg didapat sangat sebanding .... pengirimannya juga tidak sampai 2 hari ... thanks lazada",0,1,True,16.27,,desktop
326377,beli-harddisk-eksternal,Ilham N.,5,Tanpa Judul,Tidak ada review,0,0,True,14.01,14 Jan 2016,iosApp
419600,beli-harddisk-eksternal,Lydia,5,Tanpa Judul,Tidak ada review,0,0,True,19.58,12 Des 2015,androidApp
435494,beli-harddisk-eksternal,Lazada Customer,5,Tanpa Judul,Tidak ada review,0,0,True,13.01,04 Mei 2015,androidApp
444003,beli-harddisk-eksternal,imeL O.,5,Puaaasss... !!!,"Ordernya tgl. 07/04/2015 sampai barangnya tgl. 09/04/2015, cepat banget yah... Barangnya sesuai dengan gambar yang ada di web. Coba telpon ke suppliernya untuk tanya cara pakainya ternyata telelpon yang tercantum nyambung dan disambut baik oleh pelayannya. Puas dengan pelayanannya... Thanks Lazada.... ^_^",0,0,True,26.21,07 Apr 2015,desktop
491388,beli-harddisk-eksternal,wlly w.,5,Tanpa Judul,Tidak ada review,0,0,True,16.01,24 Apr 2015,androidApp
491821,beli-harddisk-eksternal,Robert G.,5,Tanpa Judul,"EX2 emng keren abiz !! cetar membahana dan hmpir semua org kagum sama cara kerjanya, alhamdulilah'a aku puas banget sama produk yang satu ini .. thanks kenkez .. jadi ketagihan nih beli di lazada !",0,0,True,16.27,,desktop
498514,beli-harddisk-eksternal,yeyen y.,2,Barang belum smpai,"Saya pesan hardisk ini tanggal 2 juni dengan fasilitas gosend sampai dihari yang sama,  Tapi sampai sekarang blm smpai,  Mohon segera di proses",0,0,True,17.53,,mobile-app
583617,beli-harddisk-eksternal,Lazada Guest,5,Tanpa Judul,Tidak ada review,0,0,True,1.23,,desktop
609662,beli-harddisk-eksternal,Sulamon S.,5,Tanpa Judul,Tidak ada review,0,0,True,12.76,19 Sep 2016,androidApp
609870,beli-harddisk-eksternal,Agnita T.,5,Tanpa Judul,Tidak ada review,0,0,True,14.99,15 Jun 2015,androidApp
648290,beli-harddisk-eksternal,Tendi N.,5,Pas!,Ukuran lumayan mungil tapi pas buat pasangan powerbank dan ponsel jadi aman tersimpan!,0,0,True,19.0,22 Jan 2016,desktop
737873,beli-harddisk-eksternal,mustafa,5,Tanpa Judul,Tidak ada review,0,0,True,1.29,,androidApp
878040,beli-harddisk-eksternal,Yudi A.,5,Tanpa Judul,Tidak ada review,0,0,True,19.0,08 Mar 2019,androidApp
878560,beli-harddisk-eksternal,Luki V.,5,Tanpa Judul,Tidak ada review,0,0,True,16.01,21 Mar 2016,androidApp
878956,beli-harddisk-eksternal,Emi R.,5,Tanpa Judul,Tidak ada review,0,0,True,13.01,20 Apr 2016,desktop
1037881,beli-harddisk-eksternal,dicky t.,5,Tanpa Judul,Tidak ada review,0,0,True,14.01,03 Agu 2015,desktop
