rating,review
5,Tidak ada review
5,"Puas, kecil tapi kencang."
5,Tidak ada review
1,Barang yang datang bukan baracuda 3.5 7200rpm tapi pipeline HD.2
5,"Thanks barang sudah sampai, sehari langsung sampe untuk sesama Jakarta. Kemasan nya rapi, Thankyou buat lazada dan kenkez"
5,Tidak ada review
1,Tidak ada review
5,Tidak ada review
1,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Barang bagus pengirman cepat. mantab deh
5,"so far ... puas dengan produk ini , harga dan fasilitas yg didapat sangat sebanding .... pengirimannya juga tidak sampai 2 hari ... thanks lazada"
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,"Ordernya tgl. 07/04/2015 sampai barangnya tgl. 09/04/2015, cepat banget yah... Barangnya sesuai dengan gambar yang ada di web. Coba telpon ke suppliernya untuk tanya cara pakainya ternyata telelpon yang tercantum nyambung dan disambut baik oleh pelayannya. Puas dengan pelayanannya... Thanks Lazada.... ^_^"
5,Tidak ada review
5,"EX2 emng keren abiz !! cetar membahana dan hmpir semua org kagum sama cara kerjanya, alhamdulilah'a aku puas banget sama produk yang satu ini .. thanks kenkez .. jadi ketagihan nih beli di lazada !"
2,"Saya pesan hardisk ini tanggal 2 juni dengan fasilitas gosend sampai dihari yang sama,  Tapi sampai sekarang blm smpai,  Mohon segera di proses"
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Ukuran lumayan mungil tapi pas buat pasangan powerbank dan ponsel jadi aman tersimpan!
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
4,"Barang oke, packaging rapi, dan pengiriman cepat. Beli HDD ini pas lagi Harbolnas (11 Des). Kirain bakalan nyampe lama. Ternyata tgl 14 udah nyampe. Makasih JVP & Lazada"
5,Tidak ada review
4,Semua berjalan mksh lazada
1,"sudah lewat batas pengiriman, barang belum sampai"
5,Barangx bagus sesuai gambar makasi
5,Tidak ada review
2,"Barang yg dtg hdd transcend 25m3 warna biru, bukan 25h3 purple"
5,Tidak ada review
5,MANTAP SESUAI EKSPENTASI
5,Tidak ada review
5,Great item
5,Lacie 2TB nya mantap
5,"You won't regret if you buy it, it's durable .and very easy to use.Satisfied and Thanks Lazada !"
3,So far found ok
5,Tidak ada review
5,"kualitas ok, mantap"
5,Tidak ada review
5,Tidak ada review
4,Barang bisa duganakan secara normal seperti seharusnya.
5,"Pada akhirnya ... harddisk WD ekternal warna biru saya datang! XD Sempat khawatir juga saya mengingat saya gak pernah membeli barang online pada hari weekend (kecuali PO). Saking khawatir pesanan saya sudah dikirim atau belum, saya sampai live chat dengan pihak Lazada untuk menanyakan posisi harddisk pesanan saya ini haha Untuk pengiriman, termasuk lama ya ....  Padahal masih wilayah Jakarta juga ckckckck (Mungkin ini efek belanja online di hari weekend). Tapi, walau terlambat dari hari yang dicantumin oleh Lazada dan di dalam nota pembelian, saya tetap merasa lega karena barang pesanan saya sudah sampai dengan sangat aman mengingat pembungkusan barangnya sangat rapi sekali hingga harus menggunakan gunting untuk membukanya. Di tambah dengan bubble wrap yang memberi kesan empuk hingga tambah yakin saya kalau barang ini akan sangat aman! Saya juga sudah mencoba harddisk-nya dan ... beneran 2TB, lho! (walau hanya tersisa 1,81TB karena sisanya termakan untuk sistem) Tapi dengan harga Rp 1.250.280 bisa dibilang sangat WORTH IT mendapat harddisk 2TB!  P.S: Saya beli dengan harga segitu karena memakai kode voucher potongan diskon dari Lazada dari harga asli kalau gak salah Rp 1.359.000 *lihat ke atas* fufufufufu #gakmaurugijugadia Ditambah dengan bonusnya yang 3 kali plus! Pouch WD, memo WD, dan pen WD! (Semuanya ada tulisan WD-nya! Gak tahu asli atau kagak, tapi semoga saja asli dari WD wkwkwkwk) Tambah gak rugilah! #nihanakemangbener-bener Overall, saya puas sekali dengan barang yang saya beli ini. Karena itulah saya bersedia menulis review panjang-panjang begini (bukannya emang selalu nulis review panjang-panjang, ya?) #plakplakplak P.S 2: Saya sempat bingung dengan tulisan ""Nota di dalam!"" pada bagian kertas putih yang bertulisan nama pengirim dan identitas penerima. Saya cari-cari sampai bego di dalam bungkusannya, ""kok, gak ada?"". Berhubung IQ saya tinggi (#PLAK), jadi saya berpikiran pasti di balik/di dalam kertas ini, nih .... Dan dugaan sayabenar! Ternyata kertas putih itu adalah amplop yang berisi kartu nama si penjual dan nota pembelian wkwkwkwkwk Anda sungguh KREATIF sebagai pedagang! Baru kali ini saya dibegituin .... Untung belum saya buang tuh bungkusan. At last but not least, Thank you, Ezzy Com! Saya pasti akan pesan harddisk lagi ke sini kalau kapasitas harddisk saya sudah penuh! (Tapi, gak tahu kapan penuhnya .... Mungkin masih agak sangat lama ....)"
5,harddisknya masih awet sampai skrng.
5,Wow..  Kualitas Barang OKE banget. Pelayanan juga OK. Trims..
5,Tidak ada review
4,sempat khawatir tidak muat hard disk eksternal saya tapi ternyata muat...barangnya bagus dgn bahan yg sesuai.
5,"Brg sdh dtg n berfungsi baik, sayang kabel nya krg umum d tmpt saya ... Jd klo rsk ssh cr cdngan, wlo smpe skrg msh baik2 saja ..."
1,Tidak ada review
4,"Pengiriman cepat dan rapi, barang diterima baik. Barang setelah digunakan dengan hasil ""mantap"""
5,Tidak ada review
5,Oke
5,Tidak ada review
4,"kata orang rumah barang udah datang, lum cek but thks"
4,pas 2 tahun.. mati total.. pemakaian normal 7 jam sehari..
1,Sy kecewaaaaa beli memory card sandisk 8gb smpe rmh memory ga bs dipake...buruk sekali anda
5,Tidak ada review
5,Tidak ada review
5,Tidak ada review
4,Tidak ada review
3,Mas kq pouchx lbih kecil dri ukuran yg di cntumkan yk... Ukuranx cuma 12cmx7cm
1,pengiriman molor 3 minggu saya kecewa
4,Berfungsi dengan baik
5,Tidak ada review
