review,sentiment
'pengemasan' 'rapi' 'barang' 'cepat' 'sampai' 'sesuai' 'pesanan' 'terima' 'kasih',1
'bungkus' 'tidak' 'profesional' 'seharus' 'memakai' 'gelembung' 'gelembung',0
'bagus' 'berfungsi' 'dengan' 'baik',1
'pengemasan' 'aman' 'barang' 'sesuai',1
'tenaga' 'bank' 'tidak' 'dapat' 'digunakan',0
'pertama' 'ragu' 'tapi' 'setelah' 'datang' 'barang' 'datang' 'langsung' 'test' 'wow' 'its' 'complite' 'bagus' 'pekerjaan' 'terima kasih' 'seler',1
'sudah' 'saya' 'terima' 'dan' 'terima kasih' 'kasih',1
'barang' 'tidak' 'dibungkus' 'aman' 'pakai' 'buble' 'hitam' 'tipis' 'jelek' 'mudah' 'sobek' 'wajar' 'saja' 'kalau' 'banyak' 'hardisk' 'yang' 'rusak' 'karena' 'penjual' 'tidak' 'bungkus' 'aman' 'di' 'gudang' 'kurir' 'barang' 'pasti' 'dilempar' 'dilempar' 'tidak' 'mungkin' 'disayang' 'disayang' 'taruh' 'pelan' 'pelan' 'karena' 'barang' 'ribuan' 'hardisk' 'barang' 'yang' 'gampang' 'rusak' 'jika' 'terkena' 'guncangan' 'jika' 'penjual' 'tidak' 'mau' 'rugi' 'jual' 'saja' 'buble' 'agar' 'aman' 'tapi' 'buble' 'putih' 'iya' 'jangan' 'buble' 'hitam',0
'barang' 'diterima' 'dengan' 'selamat' 'dan' 'sudah' 'dicoba',1
'harga' 'terjangkau' 'tapi' 'kualitas' 'luar' 'biasa' 'layar' 'hd' 'jernih' 'dan' 'nyaman' 'dipakai' 'berasa' 'seperti' 'nyata' 'tv' 'mudah' 'sekali' 'diaplikasi' 'speker' 'super' 'keren' 'merasa' 'sangat' 'beruntung' 'membeli' 'produk' 'ini' 'sangat' 'sangat' 'direkomendasikan',1
'ke',0
'tidak' 'bisa' 'nyimpan' 'data' 'seperti' 'fladish' 'bekas' 'iya' 'padahal' 'saya' 'sudah' 'sering' 'kecewa' 'belnja' 'di' 'lazada',0
'mini' 'peluit' 'trendy' 'usb' 'empat' 'gb' 'sudah' 'saya' 'terima' 'sesuai' 'pesanan' 'terima' 'kasih',0
'mantap' 'barang' 'sesuai' 'pesanan',1
'produk' 'diterima' 'dengan' 'baik' 'hinga' 'sat' 'ini' 'produk' 'berfungsi' 'dengan' 'baik',1
'tiga' 'tiga' 'gb' 'ternyata' 'enam' 'belas' 'gb' 'saja' 'sedih' 'kecewa',0
'barang' 'sudah' 'diterima' 'mudahan' 'berfungsi',1
'apan' 'flashdisk' 'dari' 'hongkong' 'ini' 'nama' 'flashdisk' 'pesan' 'satu' 'flashdisk' 'sama' 'mainan' 'kok' 'dikirim' 'mainan' 'semua' 'mana' 'sama' 'lagi' 'mau' 'dipake' 'flashdisk' 'mohon' 'pertangung' 'jawaban',0
