rating,review,aspect_category,polarity,word_count,avg_word
3,bantu kondisi pandemi tolong evaluasi dian obat apotek rekan kota manado resep obat batuk apotek suka habis sia sia konsultasi dokter ujung ujung obat resep apotek rugi chat dobel biaya masuk pakai fitur chat us customer service customer service ubah produk obat saran konsultasi dokter,pelayanan,negatif,43,7.822222222222222
5,konsultasi dokter bagus durasi cepat dokter di akhir dokter chat oke bantu terimakasih,pelayanan,negatif,12,7.538461538461537
1,astaga obat beli obat harga masuk akal kali lipat replay chat bantu belas kali coba bayar resep bank beda obat gagal solusi penyelesain ulang kali gagal harga obat masuk akal moga banding saing,harga,negatif,33,7.393939393939394
5,terima kasih layan cepat kirim thanks tertawa nambahkan layan kirim obat thanks,pelayanan,positif,11,9.0
1,telepon nomor hadiah konfirmasi aplikasi ada hadiah email nomor telepon genggam,sistem,positif,10,8.909090909090908
5,sumpah alternatif miris uang sakit rasa hemat pakai aplikasi bagus kerja cocok anak kosan,harga,positif,14,8.142857142857142
1,konfirmasi customer service guna selesai komunikasi ulang di mana kasih bukti screnshot ampun ampun munculin aplikasi,pelayanan,negatif,14,8.3125
5,bantu darurat rumah anak tetiba anak sakit obat habis pesan harga obat bagus cari murah terima kasih,harga,positif,16,7.0
4,suka suka aplikasi beda aplikasi belah jelas rekomendasi obat dokter kesel konsultasi dokter lewat ganti dokter saldo kurang kembali semingu mohon perhati dokter sibuk aktivitas nyala konsultasi penguna tertawa apl adan darurat,pelayanan,negatif,32,9.15625
5,bantu konsultasi whatsapp pandemi chat respon plus perihal bantu terima kasih,pelayanan,positif,11,8.636363636363637
1,kali telepon atas nama aneh telpon email bilang uang juta rupiah aplikasi privasi email ambil untung tipu tolong privasi ketat,sistem,negatif,20,8.45
5,keren cepat bagus bantu tertawa rumah cek sehat aman masa pandemi covid sembilan belas,anekdot/serbaneka,positif,14,7.857142857142858
5,bantu jam anak sakit konsultasi dokter terima kasih adi suryadinata bantu,pelayanan,positif,11,8.272727272727273
