rating,review,aspect_category,polarity,word_count,avg_word
3,bantu kondisi pandemi tolong evaluasi dian obat apotek rekan kota manado resep obat batuk apotek suka habis sia sia konsultasi dokter ujung ujung obat resep apotek rugi chat mahal biaya masuk baik pakai fitur chat us customer pelayanan customer pelayanan ubah produk obat saran konsultasi dokter,pelayanan,negatif,44,7.782608695652174
5,konsultasi dokter bagus durasi cepat dokter dokter chat bantu terima kasih,pelayanan,negatif,10,8.4
1,astaga obat beli obat harga masuk akal lipat ulang chat bantu coba bayar resep bank beda obat gagal solusi penyelesain ulang gagal harga obat masuk akal semoga baik banding saing,harga,negatif,30,7.466666666666668
5,terima kasih layan baik cepat kirim bantu jelek nambahkan layan kirim obat baik terimakasih,pelayanan,positif,13,8.5
1,telepon nomor hadiah konfirmasi aplikasi hadiah email nomor telepon genggam,sistem,positif,10,8.909090909090908
5,sumpah alternatif miris uang sakit hemat pakai aplikasi bagus kerja cocok anak kosan,harga,positif,14,8.142857142857142
1,konfirmasi customer pelayanan selesai komunikasi ulang kasih bukti ampun ampun munculin aplikasi,pelayanan,negatif,13,8.133333333333333
5,bantu darurat rumah anak tetiba anak sakit obat habis pesan harga obat bagus cari murah terima kasih,harga,positif,16,7.0
4,suka suka aplikasi beda aplikasi belah jelas rekomendasi obat dokter kesel konsultasi dokter ganti dokter saldo mohon perhati dokter sibuk aktivitas nyala konsultasi jelek darurat,pelayanan,negatif,30,9.333333333333334
5,bantu konsultasi whatsapp pandemi chat respon plus perihal bantu terima kasih,pelayanan,positif,11,8.636363636363637
1,telepon nama aneh telepon email bilang uang juta rupiah aplikasi privasi email ambil untung tipu tolong privasi ketat,sistem,negatif,19,8.578947368421053
5,keren cepat bagus bantu jelek rumah cek sehat aman pandemi covid,anekdot/serbaneka,positif,12,7.75
5,bantu jam anak sakit konsultasi dokter terima kasih adi suryadinata bantu,pelayanan,positif,11,8.272727272727273
5,bantu mudah cari obat obat respon cepat pesan terima kasih,pelayanan,positif,9,8.1
1,pulang hapus aplikasi kecewa profesional chat customer terima kasih,pelayanan,negatif,10,7.909090909090909
2,konsultasi bayar pakai gagal terang dana konsultasi coba malas tolong sistem bayar baik,sistem,negatif,14,9.642857142857142
5,bantu pergi rumah sakit antre aplikasi bantu praktis takut langsung konsultasi dokter kasi resep makas,anekdot/serbaneka,positif,16,8.352941176470589
1,ralat bayar aplikasi bantu,sistem,negatif,5,9.2
1,jujur puas nasihat nasihat jelas dokter sayang konsultasi aplikasi menit otomatis henti,pelayanan,negatif,12,9.416666666666666
5,bantu obat cari apotek kosong lengkap pakai mudah terimakasih,pelayanan,positif,10,8.7
5,aplikasi bantu sehat produk sehat aplikasi konsultasi sakit beli obat obat produk sehat aplikasi pilih langsung konek akun gojek terima kasih layan sukses bagus,anekdot/serbaneka,positif,23,8.708333333333334
1,tolong evaluasi respon email chat transaksi beli gopay kurir kecewa dana,pelayanan,negatif,12,8.23076923076923
5,aplikasi bagus saran adakan opsi bayar gerai kaya alfamart indomart bantu remaja orang orang milik gopay debit,anekdot/serbaneka,positif,18,7.894736842105262
5,bagus aplikasi ketemu bagus respon dokter cepat bagus tahan bantu bagus,anekdot/serbaneka,positif,12,7.6923076923076925
5,aplikasi nomor sulit bantu keliling apotek obat obat jarang sedia apotek konsultasi dokter mudah layan ramah,pelayanan,positif,16,8.5625
5,bantu aplikas khawatir dadak malam butuh obat bantu,pelayanan,positif,8,8.625
5,sangan bantu isoman beli obat cegah tular virus orang bantu,pelayanan,positif,10,8.3
5,daftar masuk email nomor telepon masuk menunggu,sistem,negatif,7,7.857142857142858
5,bantu orang malas rumah menunggu antre dokter bagus layan cepat resep akurat,pelayanan,positif,12,7.833333333333332
5,coba bantu pandemi covid rumah diagnosis beli obat,pelayanan,positif,8,7.75
5,mudah antre rumah sakit konsultasi aplikasi obat rumah bantu,pelayanan,positif,10,8.7
5,bagus bantu pandemi bantu dokter spesialis juara juara semoga tahan bagus bantu,pelayanan,positif,12,8.416666666666666
5,admin suntik vaksin dosis tanggal tanggal teman sms suntik vaksin dosis admin mohon pencerahanya,anekdot/serbaneka,positif,14,7.928571428571429
5,konsultasi antisipasi rumah bantu terima kasih sedia aplikasi,pelayanan,positif,8,9.875
5,bantu aplikasi kemarin cari resep dokter putar putar apotek ketemu aplikasi bantu capai capai putar putar,pelayanan,positif,17,8.117647058823529
3,umur uang konsultasi dokter konsultasi bayar solosi it tolong,anekdot/serbaneka,positif,9,7.888888888888888
5,aplikasi bagus chat psikiatris mudah daring dokter ramah hakim erti terima kasih,pelayanan,positif,13,8.461538461538463
5,terima kasih manfaat aplikasi konsultasi dokter mudah,anekdot/serbaneka,positif,6,8.857142857142858
5,bagus vaksin kendala efek samping jelek timbul ngantuk vaksin,anekdot/serbaneka,positif,9,8.333333333333334
5,cepat kirim kilat harga obat obat beda apotek langsung bangga,pelayanan,positif,10,8.6
1,aplikasi jelek pesan apotek obat suruh batal batal telepon customer pelayanan batalin jam batalin batal saldo kerja,pelayanan,negatif,17,8.38888888888889
5,bagus konsultasi dokter rumah sakit khawatir kena covid murah harga konsultasi,harga,positif,11,8.181818181818182
3,layan cepat aneh bayar pakai kartu kredit kartu sedia available,sistem,negatif,10,8.8
2,aplikasi lambat coba uninstal telepon genggam aplikasi berat telepon genggam jalan gabagus,sistem,negatif,10,8.25
5,dokter hebat hebat jelas fokus keluh derita terima kasih,pelayanan,positif,9,7.5555555555555545
5,efektif murah bagus,harga,positif,3,7.666666666666668
5,bagus bantu dokter dokter bagus layan sehat agam,pelayanan,positif,8,8.625
5,respon keluh team customer pelayanan respon ulas update respon team customer pelayanan cepat,pelayanan,positif,11,7.846153846153847
5,bantu konsultasi dokter langsung repot rumah sakit faskes terima kasih,pelayanan,positif,10,8.4
1,telepon agen nomor rekening,anekdot/serbaneka,positif,4,8.25
1,bintang kode voucher vaksinasi kasih bintang,pelayanan,negatif,6,8.5
5,bagus dokter responsif lumayan bagus ajak diskusi logis analisis gugup gugup dokter ketemu senang,pelayanan,positif,14,8.142857142857142
5,bagus antre sakit chat langsung bales obat terima kasih holodocbantu,pelayanan,positif,11,8.181818181818182
5,puas konsultasi pandemi dokter ramah,pelayanan,positif,5,8.4
4,muas balas cepat pilih dokter resep obat mahal semoga cocok,harga,positif,10,8.2
3,selamat sore admin aplikasi kerjasama medicilin mohon admin terima kasih,anekdot/serbaneka,positif,10,8.3
5,bantu darurat langsung tindak dokter ramah terima kasih,anekdot/serbaneka,positif,8,8.555555555555555
4,konsultasi putri farisa konsultasi selesai resep obat terima kasih,pelayanan,positif,9,8.444444444444445
5,suka menu konsultasi dokter mudah cari informasi sehat tubuh,pelayanan,positif,9,9.111111111111109
4,aplikasi bantus ramah ramah profesional sukses,pelayanan,positif,6,8.833333333333334
