review,aspect_category,polarity
sangat bantu utama kondisi pandemi tolong evaluasi dian obat apotek rekan kota manado resep obat batuk biasa apotek suka habis sia sia konsultasi dokter ujung ujung obat resep tidak apotek rugi chat kembali mahal biaya masuk lebih baik pakai fitur chat us jawab layan layan tidak bisa ubah produk obat saran konsultasi dokter jelek,pelayanan,negatif
konsultasi dokter bagus hanya durasi terlalu cepat padahal dokter dokter chatinganya oke bantu sekali terimakasih,pelayanan,negatif
astaga obat lama beli obat harga tidak masuk akal lipat ulang chat bantu lama coba bayar resep bank beda obat gagal tidak solusi penyelesain ulang gagal harga obat tidak masuk akal moga lebih baik banding saing,harga,negatif
terima kasih pelayananya sangat baik cepat sekali pengirimanya thanks bantu hanya nambahkan memang layan kirim obat baik sekali tepat thanks,pelayanan,positif
telepon nomor dapat hadiah konfirmasi benar aplikasi ada hadiah tidak bisa tahu email nomor telepon genggam,sistem,positif
sumpah alternatif sekali miris uang tahu sedikit sakit rasa bisa hemat sekali pakai aplikasi bagus kerja cocok anak kosan senang,harga,positif
konfirmasi layan sangat tidak guna tidak selesai masalah komunikasi bahkan selalu ulang di mana kasih bukti screnshotnya ampun ampun belum siap jangan munculin aplikasi,pelayanan,negatif
sangat bantu darurat tidak bisa keluar rumah banyak anak tetiba anak sakit obat habis pesan harga obat enak cari murah terima kasih,harga,positif
suka suka aplikasi beda aplikasi belah jelas rekomendasi obat dokter selalu tepat kesel sekali konsultasi dokter melewatkanya ganti dokter tetap seperti saldo kurang kembali hampir lama mohon perhati dokter sibuk aktifitasnya tidak nyala konsultasi mungkin beberapa guna seperti hanya adan darurat,pelayanan,negatif
sangat bantu bisa konsultasi whatsapp pandemi chat respon sangat plus perihal sangat bantu terima kasih,pelayanan,positif
telepon atas nama aneh telpon bisa tahu email selalu bilang uang juta rupiah aplikasi tidak privasi email ambil untung tipu tolong privasi lebih ketat,sistem,negatif
keren cepat bagus sangat bantu hanya rumah bisa cek sehat aman masa pandemi covid,anekdot/serbaneka,positif
sangat bantu jam anak sakit segera konsultasi dokter terima kasih adi suryadinata sangat bantu sekali,pelayanan,positif
sangat bantu mudah cari obat obat respon sangat cepat pesan tidak terima kasih,pelayanan,positif
tidak perlu pulang hapus aplikasi sangat kecewa tidak profesional di bagi chat customer terima kasih,pelayanan,negatif
konsultasi bayar pakai gagal keteranganya dana kembali tidak bisa konsultasi coba malas tolong sistem bayar baik,sistem,negatif
bantu sekali tidak bisa pergi rumah sakit antri panjang dekat sekali aplikasi sangat bantu sekali praktis tidak takut langsung konsultasi dokter kasi resep makas,anekdot/serbaneka,positif
ralat kembali seperti bayar aplikasi tidak bantu,sistem,negatif
jujur puas nasihat nasihat jelas dokter sangat sayang sekali konsultasi aplikasi menit otomatis henti padahal,pelayanan,negatif
bantu sekali obat cari beberapa apotek kosong aplikasi lengkap pakai aplikasi mudah thanks,pelayanan,positif
aplikasi sangat bantu masalah sehat produk sehat selalu aplikasi konsultasi sakit beli obat obat produk sehat lai banyak aplikasi lebih pilih bisa langsung konek akun gojek terima kasih layan sukses bagus bagus bagus,anekdot/serbaneka,positif
tolong evaluasi respon email chat transaksi beli gopay tidak kurir antar sangat kecewa kembali dana,pelayanan,negatif
