rating,review,aspect_category,polarity
3,"[""'membantu'"", "" 'kondisi'"", "" 'pandemi'"", "" 'tolong'"", "" 'dievaluasi'"", "" 'ketersedian'"", "" 'obat'"", "" 'apotek'"", "" 'rekanan'"", "" 'halodoc'"", "" 'kota'"", "" 'manado'"", "" 'resep'"", "" 'obat'"", "" 'batuk'"", "" 'apotek'"", "" 'suka'"", "" 'habis'"", "" 'sia'"", "" 'sia'"", "" 'konsultasi'"", "" 'dokter'"", "" 'ujung'"", "" 'ujung'"", "" 'obat'"", "" 'diresepkan'"", "" 'apotek'"", "" 'rugi'"", "" 'chat'"", "" 'dobel'"", "" 'biaya'"", "" 'masukan'"", "" 'halodoc'"", "" 'pakai'"", "" 'fitur'"", "" 'chat'"", "" 'us'"", "" 'customer service'"", "" 'halodoc'"", "" 'sb'"", "" 'customer service'"", "" 'mengubah'"", "" 'produk'"", "" 'obat'"", "" 'menyarankan'"", "" 'konsultasi'"", "" 'dokter'""]",Pelayanan,negatif
5,"[""'konsultasi'"", "" 'dokter'"", "" 'halo'"", "" 'doc'"", "" 'bagus'"", "" 'sih'"", "" 'durasi'"", "" 'cepat'"", "" 'ta'"", "" 'ta'"", "" 'dokter'"", "" 'sdb'"", "" 'di akhir'"", "" 'dokter'"", "" 'chatingan'"", "" 'oke'"", "" 'bantu'"", "" 'terima kasih'"", "" 'iya'""]",Pelayanan,negatif
1,"[""'astaga'"", "" 'obat'"", "" 'beli'"", "" 'obat'"", "" 'halo'"", "" 'doc'"", "" 'harga'"", "" 'masuk'"", "" 'akal'"", "" 'kali'"", "" 'lipat'"", "" 'replay'"", "" 'chat'"", "" 'bantuan'"", "" 'belas'"", "" 'kali'"", "" 'coba'"", "" 'pembayaran'"", "" 'resep'"", "" 'c'"", "" 'bank'"", "" 'berbeda'"", "" 'obat'"", "" 'gagal'"", "" 'solusi'"", "" 'penyelesain'"", "" 'berulang'"", "" 'kali'"", "" 'gagal'"", "" 'harga'"", "" 'obat'"", "" 'masuk'"", "" 'akal'"", "" 'semoga'"", "" 'halo'"", "" 'doc'"", "" 'banding'"", "" 'pesaing'""]",Harga,negatif
5,"[""'terima kasih'"", "" 'halodoc'"", "" 'pelayanan'"", "" 'cepat'"", "" 'pengiriman'"", "" 'thanks'"", "" 'tertawa'"", "" 'nambahkan'"", "" 'halodoc'"", "" 'pelayanan'"", "" 'pengiriman'"", "" 'obat'"", "" 'thanks'"", "" 'halodoc'""]",Pelayanan,positif
1,"[""'menelepon'"", "" 'nomor'"", "" 'halodoc'"", "" 'hadiah'"", "" 'halodoc'"", "" 'konfirmasi'"", "" 'aplikasi'"", "" 'halodoc'"", "" 'mengadakan'"", "" 'hadiah'"", "" 'email'"", "" 'nomor'"", "" 'telepon genggam'""]",Sistem,netral
5,"[""'sumpah'"", "" 'alternatif'"", "" 'miris'"", "" 'keuangan'"", "" 'tempered glass'"", "" 'sakit'"", "" 'dirasa'"", "" 'hemat'"", "" 'pakai'"", "" 'aplikasi'"", "" 'bagus'"", "" 'pekerjaan'"", "" 'halodoc'"", "" 'cocok'"", "" 'anak'"", "" 'kosan'""]",Harga ,positif
1,"[""'konfirmasi'"", "" 'customer service'"", "" 'berguna'"", "" 'selesai'"", "" 'dikomunikasikan'"", "" 'diulang'"", "" 'di mana'"", "" 'dikasih'"", "" 'bukti'"", "" 'screnshot'"", "" 'ampun'"", "" 'ampun'"", "" 'iya'"", "" 'munculin'"", "" 'aplikasi'""]",Pelayanan,negatif
5,"[""'membantu'"", "" 'disat'"", "" 'darurat'"", "" 'rumah'"", "" 'anak'"", "" 'tetiba'"", "" 'anak'"", "" 'sakit'"", "" 'obat'"", "" 'habis'"", "" 'pesan'"", "" 'dihalodoc'"", "" 'harga'"", "" 'obat'"", "" 'enak'"", "" 'dicarikan'"", "" 'termurah'"", "" 'terima kasih'""]",Harga,positif
4,"[""'suka'"", "" 'suka'"", "" 'aplikasi'"", "" 'berbeda'"", "" 'aplikasi'"", "" 'sebelah'"", "" 'penjelasan'"", "" 'rekomendasi'"", "" 'obat'"", "" 'dokter'"", "" 'kesel'"", "" 'konsultasi'"", "" 'dokter'"", "" 'melewatkan'"", "" 'ganti'"", "" 'dokterpun'"", "" 'saldo'"", "" 'berkurang'"", "" 'dikembalikan'"", "" 'semingu'"", "" 'mohon'"", "" 'diperhatikan'"", "" 'dokter'"", "" 'sibuk'"", "" 'aktivitas'"", "" 'menyalakan'"", "" 'konsultasi'"", "" 'penguna'"", "" 'tertawa'"", "" 'mengunakan'"", "" 'apl'"", "" 'keadan'"", "" 'darurat'""]",Pelayanan,negatif
5,"[""'membantu'"", "" 'konsultasi'"", "" 'whatsapp'"", "" 'sat'"", "" 'pandemi'"", "" 'chat'"", "" 'respon'"", "" 'plus'"", "" 'prihal'"", "" 'membantu'"", "" 'terima'"", "" 'kasih'"", "" 'halodoc'""]",Pelayanan,positif
