review,sentiment
"membantu,kondisi,pandemi,tolong,evaluasi,ketersedian,obat,apotek,rekanan,kota,manado,resep,obat,batuk,apotek,suka,habis,sia,sia,konsultasi,dokter,ujung,ujungnya,obat,resep,apotek,rugi,chat,mahal,biaya,masukan,baik,pakai,fitur,chat,us,pelayanan,pelayanan,mengubah,produk,obat,menyarankan,konsultasi,dokterjelek",0
"konsultasi,dokter,bagus,durasinya,cepat,dokternya,dokternya,chatinganya,bantu,terimakasih",1
"astaga,obatnya,beli,obat,harganya,masuk,akal,lipat,ulang,chat,bantuan,coba,pembayaran,resep,bank,berbeda,obatnya,gagal,solusi,penyelesain,berulang,gagal,harga,obat,masuk,akal,semoga,baik,banding,pesaing",0
"terima,kasih,pelayananya,baik,cepat,pengirimanya,bantu,nambahkan,pelayanan,pengiriman,obatnya,baik,thanks",1
"menelepon,nomor,hadiah,konfirmasi,aplikasi,mengadakan,hadiah,email,nomor,telepon,genggam",0
"sumpah,alternatif,miris,uang,sakit,dirasa,hemat,pakai,aplikasi,bagus,pekerjaan,cocok,anak,kosan",1
"konfirmasi,pelayanan,berguna,selesai,komunikasi,ulang,di,mana,kasih,bukti,screnshotnya,ampun,ampun,munculin,aplikasi",0
"membantu,darurat,rumah,anak,tetiba,anak,sakit,obat,habis,pesan,harga,obat,enaknya,cari,murah,terima,kasih",1
"suka,suka,aplikasi,berbeda,aplikasi,sebelah,penjelasan,rekomendasi,obat,dokter,kesel,konsultasi,dokter,melewatkanya,ganti,dokter,saldo,berkurang,dikembalikan,mohon,perhatikan,dokter,sibuk,aktifitasnya,menyalakan,konsultasi,pengguna,keadan,darurat",1
"membantu,konsultasi,whatsapp,pandemi,chat,respon,plus,perihal,membantu,terima,kasih",1
"telepon,mengatas,nama,aneh,penelpon,email,bilang,uang,juta,rupiah,aplikasi,memprivasi,email,mengambil,keuntungan,menipu,tolong,privasi,perketat",0
"keren,cepat,bagus,membantu,rumah,cek,kesehatan,aman,dimasa,pandemi,covid",1
"membantu,jam,anak,sakit,konsultasi,dokter,terima,kasih,adi,suryadinata,membantu",1
"membantu,mempermudah,mencari,obat,obatan,respon,cepat,pesan,terima,kasih",1
"pulang,hapus,aplikasi,kecewa,profesional,di,bagian,chat,customer,terima,kasih",0
"konsultasi,pembayaran,pakai,gagal,keteranganya,dana,dikembalikan,konsultasi,coba,malas,tolong,sistem,pembayaran,diperbaiki",0
"membantu,pergi,rumah,sakit,antrian,dekat,sekali,aplikasi,membantu,praktis,takut,langsung,konsultasi,dokternya,dikasi,resep,makasi",1
"ralat,kembalikan,bayar,aplikasi,membantu",0
"jujur,puas,nasihat,nasihat,penjelasan,dokternya,disayangkan,konsultasi,aplikasi,menit,otomatis,berhenti",0
"membantu,obat,dicari,dibeberapa,apotek,kosong,aplikasi,lengkap,pemakaian,aplikasi,mudah,thanks",1
"aplikasi,membantu,kesehatan,produk,kesehatan,aplikasi,konsultasi,penyakit,beli,obat,obatan,produk,kesehatan,lainya,aplikasi,memilih,langsung,konek,akun,gojek,terima,kasih,pelayanan,sukses,bagus",1
"tolong,evaluasi,respon,email,chat,transaksi,beli,gopay,kurir,mengantar,kecewa,pengembalian,dana",0
"aplikasinya,bagus,Cuma,saran,adakan,opsi,pembayaran,gerai,kaya,alfamart,indomart,membantu,remaja,orang,orang,gapunya,gopay,debit",1
"bagus,aplikasi,ketemu,kurangnya,di,mana,bagus,respon,dokternya,cepat,bagus,pertahankan,membantu,bagus",1
"aplikasi,nomor,sulit,membantu,keliling,apotek,obat,obat,jarang,tersedia,diapotik,konsultasi,dokter,mudah,pelayananya,ramah",1
"membantu,aplikas,khawatir,mendadak,malam,butuh,obat,membantu",1
"sangan,membantu,isoman,membeli,obat,mencegah,penularan,virus,orang,bantu",1
"daftar,masukan,email,nomor,telepon,masuk,nunggu",1
"membantu,orang,malas,rumah,nunggu,antre,dokter,bagus,pelayanan,cepat,resep,akurat",1
"coba,membantu,pandemi,covid,rumah,diagnosis,beli,obat",1
"memudahkan,antre,rumah,sakit,konsultasi,aplikasi,obat,diantar,rumah,membantu",1
"bagus,membantu,pandemi,bantu,dokter,spesialisnya,juara,juara,semoga,pertahankan,bagus,bantu",1
"admin,suntik,vaksin,dosis,tanggal,tanggal,teman,sms,suntik,vaksin,dosis,admin,mohon,pencerahanya",1
"konsultasi,antisipasi,rumah,membantu,terima,kasih,menyediakan,aplikasi",1
"terbantu,aplikasi,kemarin,cari,resep,dokter,putar,putar,apotek,terdekat,ketemu,aplikasi,terbantu,capek,capek,putar,putar",1
"umur,uang,konsultasi,dokter,konsultasi,bayar,solosi,it,tolong",0
"aplikasinya,bagus,chat,psikiatris,mudah,daring,dokternya,ramah,menghakimi,mengerti,keadan,terima,kasih",1
"terima,kasih,bermanfaat,aplikasi,konsultasi,dokter,mudah",1
"bagus,vaksin,kendala,efek,samping,timbul,ngantuk,divaksin",1
"kecepatan,pengiriman,kilat,harga,obat,obatan,berbeda,apotek,langsung,bangga",1
"aplikasinya,jelek,pesan,apotek,obatny,suruh,dibatalkan,cancelnya,bermasalah,telepon,pelayanan,batalin,jam,batalinya,batal,saldo,kerja",0
"bagus,konsultasi,dokter,rumah,sakit,khawatir,kena,covid,murah,harganya,konsultasi",1
"pelayanan,cepat,aneh,pembayaran,memakai,kartu,kredit,kartu,tersedia,available",0
"aplikasi,lambat,coba,uninstal,aplikasi,telepon,genggam,aplikasi,berat,telepon,genggam,jalan,gabagus",0
"dokternya,hebat,hebat,jelas,fokus,keluhan,derita,terima,kasih",1
"efektif,murah,bagus",1
"bagus,aplikasi,membantu,dokter,dokternya,bagus,layanan,kesehatan,beragam",1
"respon,keluhan,tim,pelayanan,respon,ulasan,memperbarui,respon,tim,pelayanan,cepat",1
"membantu,konsultasi,dokter,langsung,repot,rumah,sakit,faskes,terima,kasih",1
"menelpon,agen,nomor,rekening",0
"bintang,kode,voucher,vaksinasi,kasih,bintang",0
"bagus,dokternya,responsif,lumayan,bagus,diajak,diskusinya,logis,analisis,gugup,gugup,dokter,ketemu,senang",1
"bagus,antre,sakit,chat,langsung,dibalas,obat,diantar,terima,kasih,bantu",1
"puas,konsultasi,pandemi,dokter,ramah",1
"memuaskan,balas,cepat,pilihan,dokternya,meresepkan,obat,mahal,semoga,cocok",1
"selamat,sore,admin,aplikasi,kerjasama,medicilin,mohon,admin,terima,kasih",0
"membantu,darurat,langsung,tindakan,dokternya,ramah,terima,kasih",1
