rating,review,aspect_category,polarity,word_count,avg_word
3,"[""'membantu'"", ""'kondisi'"", ""'pandemi'"", ""'tolong'"", ""'evaluasi'"", ""'ketersedian'"", ""'obat'"", ""'apotek'"", ""'rekanan'"", ""'kota'"", ""'manado'"", ""'resep'"", ""'obat'"", ""'batuk'"", ""'apotek'"", ""'suka'"", ""'habis'"", ""'sia'"", ""'sia'"", ""'konsultasi'"", ""'dokter'"", ""'ujung'"", ""'ujungnya'"", ""'obat'"", ""'resep'"", ""'apotek'"", ""'rugi'"", ""'chat'"", ""'mahal'"", ""'biaya'"", ""'masukan'"", ""'baik'"", ""'pakai'"", ""'fitur'"", ""'chat'"", ""'us'"", ""'pelayanan'"", ""'pelayanan'"", ""'mengubah'"", ""'produk'"", ""'obat'"", ""'menyarankan'"", ""'konsultasi'"", ""'dokterjelek'""]",Pelayanan,negatif,44,9.022727272727273
5,"[""'konsultasi'"", ""'dokter'"", ""'bagus'"", ""'durasinya'"", ""'cepat'"", ""'dokternya'"", ""'dokternya'"", ""'chatinganya'"", ""'bantu'"", ""'terimakasih'""]",Pelayanan,negatif,10,10.9
1,"[""'astaga'"", ""'obatnya'"", ""'beli'"", ""'obat'"", ""'harganya'"", ""'masuk'"", ""'akal'"", ""'lipat'"", ""'ulang'"", ""'chat'"", ""'bantuan'"", ""'coba'"", ""'pembayaran'"", ""'resep'"", ""'bank'"", ""'berbeda'"", ""'obatnya'"", ""'gagal'"", ""'solusi'"", ""'penyelesain'"", ""'berulang'"", ""'gagal'"", ""'harga'"", ""'obat'"", ""'masuk'"", ""'akal'"", ""'semoga'"", ""'baik'"", ""'banding'"", ""'pesaing'""]",Harga,negatif,30,8.733333333333333
5,"[""'terima"", ""kasih'"", ""'pelayananya'"", ""'baik'"", ""'cepat'"", ""'pengirimanya'"", ""'bantu'"", ""'nambahkan'"", ""'pelayanan'"", ""'pengiriman'"", ""'obatnya'"", ""'baik'"", ""'thanks'""]",Pelayanan,positif,12,10.75
1,"[""'menelepon'"", ""'nomor'"", ""'hadiah'"", ""'konfirmasi'"", ""'aplikasi'"", ""'mengadakan'"", ""'hadiah'"", ""'email'"", ""'nomor'"", ""'telepon"", ""genggam'""]",Sistem,positif,10,10.8
5,"[""'sumpah'"", ""'alternatif'"", ""'miris'"", ""'uang'"", ""'sakit'"", ""'dirasa'"", ""'hemat'"", ""'pakai'"", ""'aplikasi'"", ""'bagus'"", ""'pekerjaan'"", ""'cocok'"", ""'anak'"", ""'kosan'""]",Harga ,positif,14,8.785714285714286
1,"[""'konfirmasi'"", ""'pelayanan'"", ""'berguna'"", ""'selesai'"", ""'komunikasi'"", ""'ulang'"", ""'di"", ""mana'"", ""'kasih'"", ""'bukti'"", ""'screnshotnya'"", ""'ampun'"", ""'ampun'"", ""'munculin'"", ""'aplikasi'""]",Pelayanan,negatif,14,10.285714285714286
5,"[""'membantu'"", ""'darurat'"", ""'rumah'"", ""'anak'"", ""'tetiba'"", ""'anak'"", ""'sakit'"", ""'obat'"", ""'habis'"", ""'pesan'"", ""'harga'"", ""'obat'"", ""'enaknya'"", ""'cari'"", ""'murah'"", ""'terima"", ""kasih'""]",Harga,positif,16,8.5625
4,"[""'suka'"", ""'suka'"", ""'aplikasi'"", ""'berbeda'"", ""'aplikasi'"", ""'sebelah'"", ""'penjelasan'"", ""'rekomendasi'"", ""'obat'"", ""'dokter'"", ""'kesel'"", ""'konsultasi'"", ""'dokter'"", ""'melewatkanya'"", ""'ganti'"", ""'dokter'"", ""'saldo'"", ""'berkurang'"", ""'dikembalikan'"", ""'mohon'"", ""'perhatikan'"", ""'dokter'"", ""'sibuk'"", ""'aktifitasnya'"", ""'menyalakan'"", ""'konsultasi'"", ""'pengguna'"", ""'keadan'"", ""'darurat'""]",Pelayanan,negatif,29,10.482758620689657
5,"[""'membantu'"", ""'konsultasi'"", ""'whatsapp'"", ""'pandemi'"", ""'chat'"", ""'respon'"", ""'plus'"", ""'perihal'"", ""'membantu'"", ""'terima'"", ""'kasih'""]",Pelayanan,positif,11,9.545454545454543
1,"[""'telepon'"", ""'mengatas'"", ""'nama'"", ""'aneh'"", ""'penelpon'"", ""'email'"", ""'bilang'"", ""'uang'"", ""'juta'"", ""'rupiah'"", ""'aplikasi'"", ""'memprivasi'"", ""'email'"", ""'mengambil'"", ""'keuntungan'"", ""'menipu'"", ""'tolong'"", ""'privasi'"", ""'perketat'""]",Sistem,negatif,19,9.526315789473683
5,"[""'keren'"", ""'cepat'"", ""'bagus'"", ""'membantu'"", ""'rumah'"", ""'cek'"", ""'kesehatan'"", ""'aman'"", ""'dimasa'"", ""'pandemi'"", ""'covid'""]",Anekdot/Serbaneka,positif,11,8.545454545454545
5,"[""'membantu'"", ""'jam'"", ""'anak'"", ""'sakit'"", ""'konsultasi'"", ""'dokter'"", ""'terima'"", ""'kasih'"", ""'adi'"", ""'suryadinata'"", ""'membantu'""]",Pelayanan,positif,11,9.181818181818182
5,"[""'membantu'"", ""'mempermudah'"", ""'mencari'"", ""'obat'"", ""'obatan'"", ""'respon'"", ""'cepat'"", ""'pesan'"", ""'terima"", ""kasih'""]",Pelayanan,positif,9,10.0
1,"[""'pulang'"", ""'hapus'"", ""'aplikasi'"", ""'kecewa'"", ""'profesional'"", ""'di"", ""bagian'"", ""'chat'"", ""'customer'"", ""'terima'"", ""'kasih'""]",Pelayanan,negatif,10,9.7
2,"[""'konsultasi'"", ""'pembayaran'"", ""'pakai'"", ""'gagal'"", ""'keteranganya'"", ""'dana'"", ""'dikembalikan'"", ""'konsultasi'"", ""'coba'"", ""'malas'"", ""'tolong'"", ""'sistem'"", ""'pembayaran'"", ""'diperbaiki'""]",Sistem,negatif,14,10.714285714285714
