rating,review,aspect_category,polarity,word_count,avg_word
3,bantu kondisi pandemi tolong evaluasi dian obat apotek rekan kota manado resep obat batuk apotek suka habis sia sia konsultasi dokter ujung ujung obat resep apotek rugi chat mahal biaya masuk baik pakai fitur chat us layan layan ubah produk obat saran konsultasi dokterjelek,pelayanan,negatif,44,8.045454545454545
5,konsultasi dokter bagus durasi cepat dokter dokter chatinganya bantu terimakasih,pelayanan,negatif,10,10.0
1,astaga obat beli obat harga masuk akal lipat ulang chat bantu coba bayar resep bank beda obat gagal solusi penyelesain ulang gagal harga obat masuk akal moga baik banding saing,harga,negatif,30,7.7666666666666675
5,terima kasih pelayananya baik cepat pengirimanya bantu nambahkan layan kirim obat baik thanks,pelayanan,positif,12,9.0
1,telepon nomor hadiah konfirmasi aplikasi ada hadiah email nomor telepon genggam,sistem,positif,10,8.909090909090908
5,sumpah alternatif miris uang sakit rasa hemat pakai aplikasi bagus kerja cocok anak kosan,harga,positif,14,7.857142857142858
1,konfirmasi layan guna selesai komunikasi ulang di mana kasih bukti screnshotnya ampun ampun munculin aplikasi,pelayanan,negatif,14,8.666666666666666
5,bantu darurat rumah anak tetiba anak sakit obat habis pesan harga obat enak cari murah terima kasih,harga,positif,16,7.117647058823528
4,suka suka aplikasi beda aplikasi belah jelas rekomendasi obat dokter kesel konsultasi dokter melewatkanya ganti dokter saldo kurang kembali mohon perhati dokter sibuk aktifitasnya nyala konsultasi guna adan darurat,pelayanan,negatif,29,9.517241379310343
5,bantu konsultasi whatsapp pandemi chat respon plus perihal bantu terima kasih,pelayanan,positif,11,8.636363636363637
1,telepon atas nama aneh telpon email bilang uang juta rupiah aplikasi privasi email ambil untung tipu tolong privasi ketat,sistem,negatif,19,8.578947368421053
5,keren cepat bagus bantu rumah cek sehat aman masa pandemi covid,anekdot/serbaneka,positif,11,7.636363636363638
5,bantu jam anak sakit konsultasi dokter terima kasih adi suryadinata bantu,pelayanan,positif,11,8.272727272727273
5,bantu mudah cari obat obat respon cepat pesan terima kasih,pelayanan,positif,9,8.1
1,pulang hapus aplikasi kecewa profesional di bagi chat customer terima kasih,pelayanan,negatif,10,7.909090909090909
2,konsultasi bayar pakai gagal keteranganya dana kembali konsultasi coba malas tolong sistem bayar baik,sistem,negatif,14,9.785714285714286
5,bantu pergi rumah sakit antri dekat sekali aplikasi bantu praktis takut langsung konsultasi dokter kasi resep makas,anekdot/serbaneka,positif,16,8.529411764705884
1,ralat kembali bayar aplikasi bantu,sistem,negatif,5,9.2
1,jujur puas nasihat nasihat jelas dokter sayang konsultasi aplikasi menit otomatis henti,pelayanan,negatif,12,9.666666666666666
5,bantu obat cari beberapa apotek kosong aplikasi lengkap pakai aplikasi mudah thanks,pelayanan,positif,12,8.916666666666666
5,aplikasi bantu sehat produk sehat aplikasi konsultasi sakit beli obat obat produk sehat lai aplikasi pilih langsung konek akun gojek terima kasih layan sukses bagus,anekdot/serbaneka,positif,24,8.68
1,tolong evaluasi respon email chat transaksi beli gopay kurir antar kecewa kembali dana,pelayanan,negatif,12,8.23076923076923
5,aplikasi bagus cuma saran adakan opsi bayar gerai kaya alfamart indomart bantu remaja orang orang gapunya gopay debit,anekdot/serbaneka,positif,18,8.166666666666666
5,bagus aplikasi ketemu kurang di mana bagus respon dokter cepat bagus tahan bantu bagus,anekdot/serbaneka,positif,13,8.142857142857142
5,aplikasi nomor sulit bantu keliling apotek obat obat jarang sedia apotik konsultasi dokter mudah pelayananya ramah,pelayanan,positif,16,8.6875
5,bantu aplikas khawatir dadak malam butuh obat bantu,pelayanan,positif,8,8.625
5,sangan bantu isoman beli obat cegah tular virus orang bantu,pelayanan,positif,10,8.3
5,daftar masuk email nomor telepon masuk nunggu,sistem,negatif,7,7.857142857142858
5,bantu orang malas rumah nunggu antre dokter bagus layan cepat resep akurat,pelayanan,positif,12,7.833333333333332
5,coba bantu pandemi covid rumah diagnosis beli obat,pelayanan,positif,8,7.75
5,mudah antre rumah sakit konsultasi aplikasi obat antar rumah bantu,pelayanan,positif,10,8.7
5,bagus bantu pandemi bantu dokter spesialis juara juara moga tahan bagus bantu,pelayanan,positif,12,8.666666666666666
5,admin suntik vaksin dosis tanggal tanggal teman sms suntik vaksin dosis admin mohon pencerahanya,anekdot/serbaneka,positif,14,7.928571428571429
5,konsultasi antisipasi rumah bantu terima kasih sedia aplikasi,pelayanan,positif,8,9.875
5,bantu aplikasi kemarin cari resep dokter putar putar apotek dekat ketemu aplikasi bantu capek capek putar putar,pelayanan,positif,17,8.117647058823529
3,umur uang konsultasi dokter konsultasi bayar solosi it tolong,anekdot/serbaneka,positif,9,7.888888888888888
5,aplikasi bagus chat psikiatris mudah daring dokter ramah hakim erti adan terima kasih,pelayanan,positif,13,8.923076923076922
5,terima kasih manfaat aplikasi konsultasi dokter mudah,anekdot/serbaneka,positif,6,8.857142857142858
5,bagus vaksin kendala efek samping timbul ngantuk vaksin,anekdot/serbaneka,positif,8,8.25
5,cepat kirim kilat harga obat obat beda apotek langsung bangga,pelayanan,positif,10,8.6
1,aplikasi jelek pesan apotek obatny suruh batal cancelnya masalah telepon layan batalin jam batal batal saldo kerja,pelayanan,negatif,17,8.882352941176471
5,bagus konsultasi dokter rumah sakit khawatir kena covid murah harga konsultasi,harga,positif,11,8.454545454545455
3,layan cepat aneh bayar pakai kartu kredit kartu sedia available,sistem,negatif,10,8.8
2,aplikasi lambat coba uninstal aplikasi telepon genggam aplikasi berat telepon genggam jalan gabagus,sistem,negatif,11,8.384615384615385
