review,aspect_category,polarity
Sangat Membantu. Terutama di kondisi Pandemi. Tapi tolong diEvaluasi Ketersediaan Obat di Apotik rekanan HALODOC di Kota MANADO. Untuk resep obat batuk biasa saja Apotik suka habis. Jadi sia2 konsultasi dgn dokter ujung2nya obat yg diresepkan ga ada di Apotik. Jadi rugi dong saya harus chat kembali dobel biaya. Ini Masukan agar HALODOC lebih baik lagi. Sudah pakai fitur chat with us tapi jawaban CS HALODOC sbb: CS Tidak bisa merubah produk obat & menyarankan konsultasi lagi dgn dokter😞,Pelayanan,Negatif
"Baru pertama konsultasi dokter lewat halo doc ini,bagus sih..cuma durasinya terlalu cepat padahal pengen lg tanya2 ke dokternya..tp sdb diakhir ama dokternya chatingannya,tp ok lah bantu bgt,thanks ya",Pelayanan,Negatif
"astaga obatnya semakin lama beli obat di halo doc harganya sudah gak masuk akal dua kali lipat. replay chat bantuan nya lama, sudah 15 kali coba pembayaran resep dengan cc dua bank berbeda obatnya gagal dan tidak ada solusi penyelesain... semakin berulang kali gagal harga obat semakin gak masuk akal. semoga halo doc dapat lebih baik dong di banding pesaing nya.",Harga,Negatif
Terimakasih Halodoc atas pelayanannya sangat baik dan cepat sekali atas Pengirimannya. Tks🙏 Hanya nambahkan bahwa HALODOC memang pelayanan dan pengiriman obatnya baik sekali dan tepat waktu. Tks Halodoc,Pelayanan,Positif
"Ada yang nelpon ke no saya katanya dari halodoc,katanya saya mendapatkan hadiah dari halodoc..saya mau konfirmasi apakah benar aplikasi halodoc mengadakan hadiah kalau tidak kenapa dia bisa tau email dan no hp saya ?",Sistem,Positif
"Sumpah ini alternatif banget bagi kalian yg lagi miris keuangannya. Menurut aku kalo kalian tau sedikit ttg sakit yg dirasa, kalian bisa hemat banget pake apk ini. Good job halodoc, cocok buat saya yang anak kosan😊",Harga ,Positif
"Konfirmasi dengan CS sangat tidak berguna, karena tidak selesai dengan masalah yang dikomunikasikan. Bahkan selalu diulang yang dimana sudah dikasih bukti screenshotnya.... Ampun.. Ampun.. Kalau belum siap ya jangan di munculin di aplikasi nya",Pelayanan,Negatif
"Sangat membantu disaat darurat, gak bisa keluar rumah dengan banyak anak. Tetiba anak sakit dan obat habis, jadilah pesan dihalodoc. Harga obat sama, dan enaknya dicarikan yang termurah. Terimakasih",Harga,Positif
"Tadinya suka2 aja sama apk ini, berbeda sama apk sebelah. Penjelasan dan rekomendasi obat dari dokter selalu tepat. Tapi kesel bgt, ini tadi saya mau konsultasi tapi dokter melewatkannya. Sampai ganti dokterpun tetap seperti itu, dan saldo yg berkurang dikembalikan dalam waktu hampir seminggu. Mohon diperhatikan, apabila dokter sedang sibuk dengan aktifitasnya untuk tidak menyalakan konsultasi. Karna mungkin ada beberapa pengguna yg seperti saya, hanya menggunakan apl dalam keadaan darurat saja",Pelayanan,Negatif
"Sangat membantu bisa konsul via wa , apa lagi saat pandemi ini , dan dr yg saya chat semua nya memberikan respon yg sangat + prihal yg saya tanyakan , sangat membantu , terima kasih halodoc ,",Pelayanan,Positif
"Udah 2 kali di telepon mengatas nama kan halodoc, aneh nya penelpon bisa tau email kita selalu bilang kita dapat uang 2 juta rupiah, apa aplikasi halodoc tidak memprivasi email sehingga ada saja pihak yg ingin mengambil keuntungan dgn menipu,tolong privasi lbh d perketat",Sistem,Negatif
Keren .. cepat..bagus..sangat membantu....hanya dari rumah kita bisa cek kesehatan ...Aman dimasa PANDEMIK COVID 19....,Anekdot/Serbaneka,Positif
Sangat membantu di jam 23:53. Anak sakit dan harus segera konsultasi ke dokter. Terima kasih Halodoc & dr. Adi Suryadinata Sp. A. Sangat membantu sekali,Pelayanan,Positif
"sangat membantu, mempermudah mencari obat""an ... respon sangat cepat pesan gk sampe 30mnt sudah sampai .. terimakasih",Pelayanan,Positif
"Tidak usah lagi, saya sudah pulang, sudah saya hapus juga aplikasi halodoc nya, saya sangat kecewa, tidak profesional dibagian chat customer nya.. Terima Kasih..",Pelayanan,Negatif
"Saya mau konsul pembayaran pake CC 3x gagal, walopun keterangannya dana akan dikembalikan tp saya jd gak bisa konsul. Mau coba lagi males.. tolong sistem pembayaran diperbaiki!",Sistem,Negatif
"Ngebantu banget,,disaat saya tidak bs pergi k rumah sakit karena antrian panjang dan waktu yg mepet,, aplikasi ini sangattttttt ngebantu bangettttt,,,praktis dan tidak takut karena lgsg konsul sama dokternya dan dikasii resep pula,,makasiii",Anekdot/Serbaneka,Positif
Ralat : kembalikan yang seperti dulu.. sekarang bayar semua !!!! Aplikasi yang gak membantu lagiiiii !!,Sistem,Negatif
"Jujur sy puas dengan nasihat2 dan penjelasan dokternya,nmun sgt disayangkan sekali konsul dr apk nya 30 menit saja dan otomatis berhenti, padahal saya msh ingin bertanya lgi.",Pelayanan,Negatif
Membantu sekali ketika obat yg dicari dibeberapa apotek sedang kosong di app ini lengkap. Pemakaian app juga gampang.tks,Pelayanan,Positif
