,postag
0,"[('membantu', 'VB'), ('kondisi', 'NN'), ('pandemi', 'NN'), ('tolong', 'VB'), ('dievaluasi', 'NN'), ('ketersedian', 'NN'), ('obat', 'NN'), ('apotek', 'NN'), ('rekanan', 'NN'), ('halodoc', 'NN'), ('kota', 'NN'), ('manado', 'NN'), ('resep', 'NN'), ('obat', 'NN'), ('batuk', 'VB'), ('apotek', 'NN'), ('suka', 'VB'), ('habis', 'NN'), ('sia', 'NN'), ('sia', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('ujung', 'NN'), ('ujung', 'NN'), ('obat', 'NN'), ('diresepkan', 'VB'), ('apotek', 'NN'), ('rugi', 'JJ'), ('chat', 'VB'), ('dobel', 'NN'), ('biaya', 'NN'), ('masukan', 'VB'), ('halodoc', 'NN'), ('pakai', 'VB'), ('fitur', 'NN'), ('chat', 'VB'), ('us', 'FW'), ('customer', 'FW'), ('service', 'FW'), ('halodoc', 'FW'), ('sb', 'FW'), ('customer', 'FW'), ('service', 'FW'), ('mengubah', 'VB'), ('produk', 'NN'), ('obat', 'NN'), ('menyarankan', 'VB'), ('konsultasi', 'NN'), ('dokter', 'NN')]"
1,"[('konsultasi', 'NN'), ('dokter', 'FW'), ('halo', 'FW'), ('doc', 'FW'), ('bagus', 'JJ'), ('sih', 'VB'), ('durasi', 'NN'), ('cepat', 'JJ'), ('ta', 'NN'), ('ta', 'NN'), ('dokter', 'NN'), ('sdb', 'NN'), ('di', 'IN'), ('akhir', 'NN'), ('dokter', 'NN'), ('chatingan', 'NN'), ('oke', 'NN'), ('bantu', 'RB'), ('terima', 'VB'), ('kasih', 'NN'), ('iya', 'PRP')]"
2,"[('astaga', 'NN'), ('obat', 'NN'), ('beli', 'VB'), ('obat', 'NN'), ('halo', 'FW'), ('doc', 'FW'), ('harga', 'NN'), ('masuk', 'VB'), ('akal', 'NN'), ('kali', 'NN'), ('lipat', 'VB'), ('replay', 'FW'), ('chat', 'VB'), ('bantuan', 'NN'), ('belas', 'CD'), ('kali', 'NND'), ('coba', 'NN'), ('pembayaran', 'NN'), ('resep', 'NN'), ('c', 'NN'), ('bank', 'NN'), ('berbeda', 'VB'), ('obat', 'NN'), ('gagal', 'JJ'), ('solusi', 'NN'), ('penyelesain', 'JJ'), ('berulang', 'VB'), ('kali', 'NN'), ('gagal', 'JJ'), ('harga', 'NN'), ('obat', 'NN'), ('masuk', 'VB'), ('akal', 'NN'), ('semoga', 'NN'), ('halo', 'FW'), ('doc', 'FW'), ('banding', 'FW'), ('pesaing', 'FW')]"
3,"[('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'NN'), ('pelayanan', 'NN'), ('cepat', 'JJ'), ('pengiriman', 'NN'), ('thanks', 'NN'), ('tertawa', 'VB'), ('nambahkan', 'VB'), ('halodoc', 'NN'), ('pelayanan', 'NN'), ('pengiriman', 'NN'), ('obat', 'NN'), ('thanks', 'FW'), ('halodoc', 'FW')]"
4,"[('menelepon', 'NN'), ('nomor', 'NN'), ('halodoc', 'FW'), ('hadiah', 'FW'), ('halodoc', 'FW'), ('konfirmasi', 'NN'), ('aplikasi', 'NN'), ('halodoc', 'FW'), ('mengadakan', 'VB'), ('hadiah', 'NN'), ('email', 'NN'), ('nomor', 'NN'), ('telepon', 'NN'), ('genggam', 'NN')]"
5,"[('sumpah', 'NN'), ('alternatif', 'NN'), ('miris', 'NN'), ('keuangan', 'NN'), ('tempered', 'FW'), ('glass', 'FW'), ('sakit', 'FW'), ('dirasa', 'NN'), ('hemat', 'NN'), ('pakai', 'VB'), ('aplikasi', 'NN'), ('bagus', 'JJ'), ('pekerjaan', 'NN'), ('halodoc', 'FW'), ('cocok', 'FW'), ('anak', 'NN'), ('kosan', 'NN')]"
6,"[('konfirmasi', 'NN'), ('customer', 'FW'), ('service', 'FW'), ('berguna', 'SC'), ('selesai', 'VB'), ('dikomunikasikan', 'VB'), ('diulang', 'NN'), ('di', 'IN'), ('mana', 'NN'), ('dikasih', 'NN'), ('bukti', 'NN'), ('screnshot', 'NN'), ('ampun', 'SC'), ('ampun', 'VB'), ('iya', 'NN'), ('munculin', 'NN'), ('aplikasi', 'NN')]"
7,"[('membantu', 'VB'), ('disat', 'NN'), ('darurat', 'NN'), ('rumah', 'NN'), ('anak', 'NN'), ('tetiba', 'VB'), ('anak', 'NN'), ('sakit', 'NN'), ('obat', 'NN'), ('habis', 'VB'), ('pesan', 'NN'), ('dihalodoc', 'NN'), ('harga', 'NN'), ('obat', 'NN'), ('enak', 'NN'), ('dicarikan', 'VB'), ('termurah', 'NN'), ('terima', 'VB'), ('kasih', 'MD')]"
8,"[('suka', 'VB'), ('suka', 'VB'), ('aplikasi', 'NN'), ('berbeda', 'VB'), ('aplikasi', 'NN'), ('sebelah', 'NN'), ('penjelasan', 'NN'), ('rekomendasi', 'NN'), ('obat', 'NN'), ('dokter', 'NN'), ('kesel', 'NN'), ('konsultasi', 'NN'), ('dokter', 'NN'), ('melewatkan', 'VB'), ('ganti', 'NN'), ('dokterpun', 'SC'), ('saldo', 'NN'), ('berkurang', 'VB'), ('dikembalikan', 'VB'), ('semingu', 'NN'), ('mohon', 'RB'), ('diperhatikan', 'VB'), ('dokter', 'NN'), ('sibuk', 'NN'), ('aktivitas', 'NN'), ('menyalakan', 'VB'), ('konsultasi', 'NN'), ('penguna', 'SC'), ('tertawa', 'VB'), ('mengunakan', 'VB'), ('apl', 'NN'), ('keadan', 'NN'), ('darurat', 'NN')]"
9,"[('membantu', 'VB'), ('konsultasi', 'NN'), ('whatsapp', 'NN'), ('sat', 'NN'), ('pandemi', 'NN'), ('chat', 'VB'), ('respon', 'NN'), ('plus', 'JJ'), ('prihal', 'JJ'), ('membantu', 'VB'), ('terima', 'CD'), ('kasih', 'NN'), ('halodoc', 'FW')]"
