Ulasan,Aktual
"pelayanan buruk, kinerja dari pelayannya yang lambat :( ketus lagi, saya harus menunggu lama dari tadi.",Pelayanan Negatif
Tempat yang sempurna untuk yang suka foto - foto,Tempat Positif
"Tempatnya adem ditambah dengan adanya angin di alam terbuka, bersih, nyaman, dan  luas.",Tempat Positif
"Kecewa dengan makanannya, masakan setengah mateng malah di serve.",Makanan Negatif
"kerjanya lama kacau, pesanan berbeda dengan yang di gambar, judes kecewa dengan pelayanannya",Pelayanan Negatif
Para pelayan sangat friendly ramah dan selalu bisa diajak bercanda. puas,Pelayanan Positif
"Suasana ampek dan sumpek di siang hari, apalagi kalau rame. :(",Tempat Negatif
"Yang uangnya pas pasan jangan coba makan disini deh, mahal soalnya.",Harga Negatif
Puas dengan pelayanan karyawan yang selalu tanggap dalam memenuhi keinginan pengunjung.,Pelayanan Positif
"Pilihan menu minuman sedikit sekali, kurang variasi",Makanan Negatif
"Untuk menu udang telormya kurang nih, rasanya kurang di lidah",Makanan Negatif
Kapok deh kami makan disini harganya mahal banget.,Harga Negatif
Tempat yang direkomendasikan untuk acara keluarga dan acara kantor.,Tempat Positif
"Fasilitas yang ada cukup lengkap, jadi betah nongkrong disini.",Tempat Positif
"Pelayannya lambat sih, saya dateng bukannya dilayani lama, malah judes",Pelayanan Negatif
"Pelayanan lama servicenya parah, gak nyediain tisu. Tutup jam 9, tapi malah diburu buru.",Pelayanan Negatif
"Harga yang ditawarkan mahal, harga tinggi, bikin boros uang",Harga Negatif
Harga masih tergolong sama lah dengan rata rata restoran lain.,Harga Negatif
Harga nya cukup terjangkau dan masuk akal lah.,Harga Positif
"Pelayannya tidak sigap, bekerja dengan lamban, lelet, ceroboh, cuek :-(",Pelayanan Negatif
"Highly recomended makanan terong raos. Rasa makanannya enak, lezat, gurih dan nikmat di lidah, kenyang lagi :) .",Makanan Positif
"Harga bervariatif, tapi gak kemahalan kok segini mah.",Harga Positif
"waktu kami datang menunggu lama untuk antri, pelayanan lelet, pesanan lama.",Pelayanan Negatif
"Sambelnya kurang menggigit, menu makanan juga biasa aja.",Makanan Negatif
puas Tingkat pelayanan  sudah baik :) selalu senyum sapa ramah sopan,Pelayanan Positif
"Makanannya udah gak seenak dulu, kentangnya tidak enak, tdk segar, kaya mau busuk.",Makanan Negatif
"Pelayanannya minus nih, 15 menit baru dilayani, padahal sepi, lambat lagi. :(",Pelayanan Negatif
"Tempatnya bagus sangat antik, terdapat banyak barang barang jadul unik sih.",Tempat Positif
"Tempat sungguh bisa direkomendasikan, ada juga akses untuk pengguna kursi roda.",Tempat Positif
"Saat kami tiba pelayan ramah, sopan, senyum langsung sigap melayani, pesanan cepat pelayanan bagus dan baik.",Pelayanan Positif
