"Nama dan Tanggal","Nama","Tanggal","Rating","Review"
"Hendy Ucok Manurung 22 April 2021 	","Hendy Ucok Manurung","22 April 2021","Diberi rating 3 bintang dari 5 bintang","Sangat Membantu. Terutama di kondisi Pandemi. Tapi tolong diEvaluasi Ketersediaan Obat di Apotik rekanan HALODOC di Kota MANADO. Untuk resep obat batuk biasa saja Apotik suka habis. Jadi sia2 konsultasi dgn dokter ujung2nya obat yg diresepkan ga ada di Apotik. Jadi rugi dong saya harus chat kembali dobel biaya. Ini Masukan agar HALODOC lebih baik lagi. Sudah pakai fitur chat with us tapi jawaban CS HALODOC sbb: CS Tidak bisa merubah produk obat & menyarankan konsultasi lagi dgn dokter😞"
"Ratna Djauhari 23 April 2021 	","Ratna Djauhari","23 April 2021","Diberi rating 5 bintang dari 5 bintang","Baru pertama konsultasi dokter lewat halo doc ini,bagus sih..cuma durasinya terlalu cepat padahal pengen lg tanya2 ke dokternya..tp sdb diakhir ama dokternya chatingannya,tp ok lah bantu bgt,thanks ya"
"Karina Ismir 22 April 2021 	","Karina Ismir","22 April 2021","Diberi rating 1 bintang dari 5 bintang","astaga obatnya semakin lama beli obat di halo doc harganya sudah gak masuk akal dua kali lipat. replay chat bantuan nya lama, sudah 15 kali coba pembayaran resep dengan cc dua bank berbeda obatnya gagal dan tidak ada solusi penyelesain... semakin berulang kali gagal harga obat semakin gak masuk akal. semoga halo doc dapat lebih baik dong di banding pesaing nya."
"Sudi Ono 23 April 2021 	","Sudi Ono","23 April 2021","Diberi rating 5 bintang dari 5 bintang","Terimakasih Halodoc atas pelayanannya sangat baik dan cepat sekali atas Pengirimannya. Tks🙏 Hanya nambahkan bahwa HALODOC memang pelayanan dan pengiriman obatnya baik sekali dan tepat waktu. Tks Halodoc"
"Tetep Herman 21 April 2021 	","Tetep Herman","21 April 2021","Diberi rating 1 bintang dari 5 bintang","Ad yg nlp ke no sya katanya dari halodoc,katanya sya mendapatkan hadiah dari halodoc..saya mau konfirmasi apakah benar apk halodoc mengadakan hadiah kalau tidak kenapa dia bisa tau email dan no hp saya ?"
"lusiyana jalni 13 April 2021 	","lusiyana jalni","13 April 2021","Diberi rating 5 bintang dari 5 bintang","Sumpah ini alternatif banget bagi kalian yg lagi tiris keuangannya. Menurut aku kalo kalian tau sedikit ttg sakit yg dirasa, kalian bisa hemat banget pake apk ini. Good job halodoc, cocok buat saya yang anak kosan😊"
"W M 21 April 2021 	","W M","21 April 2021","Diberi rating 1 bintang dari 5 bintang","Konfirmasi dengan CS sangat tidak berguna, karena tidak selesai dengan masalah yang dikomunikasikan. Bahkan selalu diulang yang dimana sudah dikasih bukti screenshotnya.... Ampun.. Ampun.. Kalau belum siap ya jangan di munculin di aplikasi nya"
"dhifa trianti 13 April 2021 	","dhifa trianti","13 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membantu disaat darurat, gak bisa keluar rumah dengan banyak anak. Tetiba anak sakit dan obat habis, jadilah pesan dihalodoc. Harga obat sama, dan enaknya dicarikan yang termurah. Terimakasih"
"Pengguna Google 8 April 2021 	","Pengguna Google","8 April 2021","Diberi rating 4 bintang dari 5 bintang","Tadinya suka2 aja sama apk ini, berbeda sama apk sebelah. Penjelasan dan rekomendasi obat dari dokter selalu tepat. Tapi kesel bgt, ini tadi saya mau konsultasi tapi dokter melewatkannya. Sampai ganti dokterpun tetap seperti itu, dan saldo yg berkurang dikembalikan dalam waktu hampir seminggu. Mohon diperhatikan, apabila dokter sedang sibuk dengan aktifitasnya untuk tidak menyalakan konsultasi. Karna mungkin ada beberapa pengguna yg seperti saya, hanya menggunakan apl dalam keadaan darurat saja"
"Hendra Minmin 10 April 2021 	","Hendra Minmin","10 April 2021","Diberi rating 5 bintang dari 5 bintang","Sangat membantu bisa konsul via wa , apa lagi saat pandemi ini , dan dr yg saya chat semua nya memberikan respon yg sangat + prihal yg saya tanyakan , sangat membantu , terima kasih halodoc ,"
