;@	Apa
*<):o)	Badut
:-)	Bahagia
<-I	Bego
&:-)	Berambut Kribo
(o)(o)	Berdada Besar
:-)=	Berjanggut
B-)	Berkacamata
:-{)	Berkumis
:-“	Bersiul
:@	Berteriak
+<:-|	Biarawan
:-/	Bingung
:—}	Bohong
;-ozzz	Bosan
|-)	bete
:-[	Cemberut
(:-D	Cerewet
>-	Cewek
:-)8<	Cewek ABG
:*	Ciuman
:**:	Ciuman Balik
:-X	Ciuman Basah
:-	Cowok
:|	Cuek
[-(	Diam tak bicara
:/|	dilarang merokok
<:>	Ekspresi Licik
:-L	Frustasi
:/)	tidak lucu
(X)	Gay
>:-<<	Geram
:-s	Gugup
>:<	Gusar
$-]	Habis gajian
8-0	Heran
:-9	Lezat
;-(0)	Huuuuuu
=;	Jangan
%-}	Jenaka
:- ()	Kaget
%%-	Keberuntungan
(:|	Kecapekan
:-<	Kecewa
:-e	Kecewa
=P~	Keluar air liur
:-6	Kepedasan
*W*	Kerling
>:-!	Kesal
:-s	Khawatir
(-:	Kidal
>): )	Koboi
:B	Kutu buku
>->	Licik
%*}	Mabuk
O:- )	Malaikat
:”>	Malu
:”) 	Malu
:- ||	Marah
X-(	Marah banget
$-)	Mata duitan
;;)	Mata genit
$-)	lelah
%-6	Mati Kutu
:=P	Meledek
:-9’	Meludah
>:D<	Memeluk
:’-(	Menangis
:’(`’’’	Menangis tersedu-sedu
\:D/	Menari
:-* 	Mencium
/:)	Mengangkat alis
;-)	Mengedipkan mata
:-‘/	Mengucapkan dengan tersenyum
:-@!	Mengutuk
=-P	Menjulurkan Lidah
>:(	Merasa terganggu
:(|)	Monyet
:-&	Mual
:=o	paham
{}	Peluk
:X	peluk cium
:-X	Peluk Cium
):- (	Pemarah
:^O	Pembual
+:- )	Pendeta
O:)	pening 
O:-)	Pening
-:- )	Punk
%-}	Pusing
%-(	Putus asa
:-\\	Ragu
:-~)	Sakit flu
Q:-)	Sarjana
~O)	Secangkir kopi
:(	Sedih
(:-(	Sedih banget
>:-(	Sedih campur marah
:-)))	Senang Banget
>: )	Setan kecil
;>	sinis
:->	sinis
:-$	diam
(:-(	tanpa senyum
8-X	Tengkorak
=D>	Tepuk tangan
:-D*	Terbahak-bahak
:’)	Terharu
:O	teriak kaget
:-O	Teriak kaget
=)	Tersenyum
;^]	Tersenyum kecut
:-<	Tertipu
|-I	Tidur
|^o	Tidur Ngorok
(-.-)	Tidur nyenyak
👍	Bagus
👍👍	Bagus
👍👍👍	Bagus
👍👍👍👍	Bagus
😊	Senang
🙏	Bantu
🙏🙏	Bantu
🙏🙏🙏	Bantu
🙏🙏🙏🙏	Bantu
😂	Bagus
😂😂	Bagus
😂😂😂	Bagus
😂😂😂😂	Bagus
😅	Bagus
😅😅	Bagus
😅😅😅	Bagus
😅😅😅😅	Bagus
😀	Bagus
😀😀	Bagus
😀😀😀	Bagus
😀😀😀😀	Bagus
🌟	Ulasan
🌟🌟	Ulasan
🌟🌟🌟	Ulasan
🌟🌟🌟🌟	Bagus
🌟🌟🌟🌟🌟	Bagus
🙂	Bagus
🙂🙂	Bagus
🙂🙂🙂	Bagus
🙂🙂🙂🙂	Bagus
❤	Suka
😇	Bagus
😇😇	Bagus
🤗	Bagus
🤗🤗	Bagus
🤗🤗🤗	Bagus
😍	Suka
😍😍	Suka
😍😍😍	Suka
👎	Jelek
👎👎	Jelek
👎👎👎	Jelek
👎👎👎👎	Jelek
👎👎👎👎👎	Jelek
👎👎👎👎👎👎	Jelek
❤❤	Suka
❤❤❤	Suka
❤❤❤❤	Suka
❤❤❤❤❤ Suka
👌	Bagus
👌👌	Bagus
👌👌👌	Bagus
😥	Jelek
💝	Bagus
💝💝	Bagus
😭	Bagus
😭😭	Bagus
😭😭😭	Bagus
🤣	Bagus
🤣🤣	Bagus
🤣🤣🤣	Bagus
🤣🤣🤣🤣	Bagus
😞	Jelek
