Sentimen,Nilai Validitas Sentimen
Positif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Positif,0.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Negatif,0.0
Negatif,1.0
Positif,0.0
Positif,0.0
Negatif,1.0
Negatif,0.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Negatif,0.0
Negatif,1.0
Negatif,1.0
Positif,0.0
Positif,1.0
Negatif,1.0
Positif,0.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,0.0
Negatif,1.0
Positif,1.0
Positif,0.0
Negatif,1.0
Negatif,0.0
Positif,0.0
Positif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Positif,0.0
Positif,1.0
Negatif,0.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,0.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,0.0
Positif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Negatif,0.0
Negatif,1.0
Negatif,0.0
Positif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Positif,0.0
Negatif,1.0
Negatif,0.0
Negatif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,0.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,0.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,0.0
Negatif,0.0
Positif,0.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Positif,0.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Positif,0.0
Positif,0.0
Negatif,0.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Positif,0.0
Positif,1.0
Positif,1.0
Positif,0.0
Negatif,0.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,0.0
Positif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Positif,0.0
Negatif,0.0
Positif,0.0
Positif,1.0
Negatif,0.0
Negatif,1.0
Negatif,0.0
Negatif,1.0
Positif,1.0
Negatif,0.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Positif,0.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Negatif,0.0
Positif,1.0
Negatif,0.0
Positif,1.0
Negatif,1.0
Negatif,0.0
Positif,1.0
Positif,1.0
Positif,0.0
Negatif,1.0
Positif,1.0
Positif,0.0
Positif,1.0
Positif,0.0
Positif,1.0
Negatif,1.0
Negatif,0.0
Negatif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Positif,0.0
Negatif,1.0
Positif,1.0
Positif,0.0
Negatif,0.0
Positif,0.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,0.0
Positif,1.0
Negatif,1.0
Negatif,0.0
Positif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Positif,0.0
Positif,1.0
Positif,0.0
Negatif,1.0
Positif,1.0
Positif,0.0
Positif,1.0
Positif,0.0
Negatif,1.0
Positif,1.0
Positif,0.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Positif,0.0
Positif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Negatif,0.0
Positif,1.0
Negatif,1.0
Negatif,0.0
Positif,1.0
Negatif,1.0
Positif,0.0
Negatif,1.0
Positif,0.0
Positif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Negatif,0.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,0.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Negatif,0.0
Positif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Positif,0.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Positif,1.0
Positif,0.0
Negatif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,0.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,0.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,0.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,0.0
Positif,1.0
Positif,0.0
Positif,1.0
Positif,1.0
Negatif,0.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,0.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Negatif,1.0
Negatif,0.0
Positif,1.0
Positif,1.0
Positif,1.0
Positif,0.0
Negatif,1.0
Positif,0.0
Negatif,1.0
Negatif,1.0
Positif,0.0
Positif,1.0
Negatif,0.0
Negatif,1.0
Negatif,1.0
Positif,1.0
Positif,1.0
Positif,1.0
Negatif,1.0
Negatif,1.0
Positif,1.0
